run,linearity
1,14.686521:15.0-18.751003:15.0-126.93359:191.0-136.6509:191.0-146.4993:191.0-156.46437:191.0-166.5333:191.0-176.69463:191.0-186.93822:191.0-303.0479:191.0-313.79263:191.0-324.55542:191.0-335.33432:191.0-346.12753:191.0-356.9335:191.0-367.7508:191.0-378.5782:191.0-411.11047:207.0-421.96832:207.0-432.8318:207.0-443.7003:207.0-454.57324:207.0-465.45016:207.0-476.33063:207.0-487.21423:207.0-498.10065:207.0-508.98956:207.0-607.06525:191.0-617.968:191.0-737.9312:191.0-748.83875:191.0-759.74646:191.0-770.6543:191.0-781.5623:191.0-792.47046:191.0-803.37866:191.0-814.287:191.0-825.1954:191.0-836.1038:191.0-847.0124:191.0-901.5559:223.0-912.4647:223.0-923.3736:223.0-1021.55414:207.0-1032.4633:207.0-1043.3723:207.0-1054.2814:207.0-1065.1904:207.0-1097.9176:223.0-1108.8267:223.0-1119.7357:223.0-1130.6448:223.0-1141.5538:223.0-1152.4629:223.0-1163.372:223.0-1174.281:223.0-1185.1901:223.0-1294.2806:191.0-1305.1897:191.0-1316.0988:191.0-1327.0078:191.0-1337.9169:191.0-1348.8259:191.0-1359.735:191.0-1370.644:191.0-1381.5531:191.0-1392.4622:191.0-1403.3712:191.0-1414.2803:191.0-1425.1893:191.0-1436.0984:191.0-1447.0074:191.0-1457.9165:191.0-1468.8256:191.0-1479.7346:191.0-1490.6437:191.0-1501.5527:191.0-1512.4618:191.0-1523.3708:191.0-1534.2799:191.0-1545.189:191.0-1556.098:191.0-1567.0071:191.0-1577.9161:191.0-1708.8248:207.0-1719.7339:207.0-1730.643:207.0-1741.552:207.0-1752.461:207.0-1763.3701:207.0-1774.2792:207.0-2101.5515:191.0-2112.4607:191.0-2123.3699:191.0-2199.7341:159.0-2210.6433:159.0-2221.5525:159.0-2308.826:223.0-2319.735:223.0-2330.6443:223.0-2341.5535:223.0-2352.4626:223.0-2363.3718:223.0-2373.681:223.0-2383.456:223.0-2384.0:223.0
2,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-239.10587:191.0-249.6842:191.0-260.29892:191.0-270.946:191.0-281.62195:191.0-292.32352:191.0-303.0479:191.0-313.79263:191.0-324.55542:191.0-335.33432:191.0-411.11047:239.0-421.96832:239.0-432.8318:239.0-443.7003:239.0-454.57324:239.0-465.45016:239.0-563.4629:223.0-574.36194:223.0-585.2621:223.0-596.1632:223.0-607.06525:223.0-617.968:223.0-628.8715:223.0-639.77563:223.0-650.6803:223.0-661.58545:223.0-672.491:223.0-683.397:223.0-694.3033:223.0-705.2099:223.0-716.11676:223.0-727.02386:223.0-737.9312:223.0-748.83875:223.0-759.74646:223.0-770.6543:223.0-1011.9106:191.0-1022.6804:191.0-1033.4656:191.0-1044.2644:191.0-1055.0753:191.0-1065.897:191.0-1076.7283:191.0-1087.5681:191.0-1207.1635:191.0-1218.0554:191.0-1228.9493:191.0-1239.8448:191.0-1250.742:191.0-1261.6403:191.0-1272.5398:191.0-1283.4404:191.0-1294.3419:191.0-1348.8604:223.0-1359.7656:223.0-1370.6714:223.0-1468.8357:207.0-1479.7438:207.0-1490.652:207.0-1501.5602:207.0-1512.4685:207.0-1523.377:207.0-1534.2854:207.0-1545.194:207.0-1643.373:191.0-1654.282:191.0-1665.1909:191.0-1676.0999:191.0-1687.0088:191.0-1697.9177:191.0-1708.8268:191.0-1719.7358:191.0-1730.6449:191.0-1741.554:191.0-1752.463:191.0-1763.3721:191.0-1807.0083:207.0-1817.9174:207.0-1828.8264:207.0-1839.7355:207.0-1850.6445:207.0-1861.5536:207.0-1872.4626:207.0-1883.3717:207.0-1894.2808:207.0-1905.1898:207.0-1916.0989:207.0-1927.0079:207.0-1937.917:207.0-2003.3713:239.0-2014.2804:239.0-2025.1895:239.0-2036.0985:239.0-2047.0076:239.0-2134.281:191.0-2145.1902:191.0-2156.0994:191.0-2167.0085:191.0-2177.9177:191.0-2188.827:191.0-2199.736:191.0-2210.6453:191.0-2221.5544:191.0-2232.4636:191.0-2243.3728:191.0-2254.282:191.0-2265.1912:191.0-2276.1003:191.0-2287.0095:191.0-2297.9187:191.0-2308.828:191.0-2319.737:191.0
3,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-156.46437:207.0-166.5333:207.0-176.69463:207.0-186.93822:207.0-197.255:207.0-207.63695:207.0-218.07687:207.0-228.5684:207.0-239.10587:207.0-249.6842:207.0-260.29892:207.0-270.946:207.0-281.62195:207.0-292.32352:207.0-389.41458:159.0-400.25897:159.0-572.4243:175.0-577.5376:175.0-722.56647:207.0-732.7641:207.0-743.04004:207.0-753.3856:207.0-763.79315:207.0-774.25586:207.0-784.7677:207.0-816.5467:223.0-827.20654:223.0-837.8938:223.0-848.60547:223.0-859.33887:223.0-870.09155:223.0-880.86145:223.0-891.64667:223.0-902.4455:223.0-913.2565:223.0-924.07825:223.0-1054.4553:207.0-1087.1311:239.0-1098.0266:239.0-1196.1372:223.0-1207.0421:223.0-1217.9474:223.0-1228.8531:223.0-1239.7593:223.0-1250.6658:223.0-1283.3867:239.0-1294.2942:239.0-1305.2018:239.0-1316.1095:239.0-1327.0175:239.0-1337.9255:239.0-1348.8337:239.0-1359.742:239.0-1370.6503:239.0-1381.5587:239.0-1392.4672:239.0-1403.3757:239.0-1414.2843:239.0-1425.193:239.0-1435.5017:239.0-1445.2765:239.0-1533.055:239.0-1542.8989:239.0-1699.4176:223.0-1710.1616:223.0-1720.9238:223.0-1731.7021:223.0-1742.4949:223.0-1774.9443:239.0-1785.7804:239.0-1796.6245:239.0-1959.8268:223.0-1970.7258:223.0-2112.4802:223.0-2123.3875:223.0-2134.2947:223.0-2145.2021:223.0-2156.1099:223.0-2167.0178:223.0-2177.9258:223.0-2188.834:223.0-2199.7422:223.0-2210.6504:223.0-2363.3728:207.0-2373.6816:207.0-2383.4565:207.0-2384.0:207.0
4,14.686521:15.0-18.751003:15.0-146.4993:239.0-155.86438:239.0-164.7993:239.0-240.65305:191.0-249.8612:191.0-259.25647:191.0-380.94254:207.0-391.51886:207.0-402.13177:207.0-412.77728:207.0-423.45178:207.0-434.15207:207.0-444.87534:207.0-455.61905:207.0-466.38095:207.0-477.15903:207.0-487.95154:207.0-498.75687:207.0-509.5736:207.0-520.4005:207.0-531.23645:207.0-542.08044:207.0-552.9316:207.0-563.7891:207.0-574.65234:207.0-585.52057:207.0-596.3933:207.0-607.27:207.0-618.1503:207.0-737.982:207.0-748.884:207.0-759.78674:207.0-770.6902:207.0-781.59424:207.0-792.49884:207.0-803.40393:207.0-814.3095:207.0-825.21545:207.0-836.12177:207.0-934.2888:191.0-945.197:191.0-956.10535:191.0-967.01373:191.0-977.9222:191.0-1010.648:207.0-1021.5567:207.0-1032.4653:207.0-1043.3741:207.0-1054.283:207.0-1065.1918:207.0-1076.1006:207.0-1087.0095:207.0-1097.9185:207.0-1108.8274:207.0-1119.7363:207.0-1130.6453:207.0-1141.5542:207.0-1152.4631:207.0-1163.3722:207.0-1174.2812:207.0-1185.1903:207.0-1327.008:239.0-1337.9171:239.0-1348.8262:239.0-1359.7352:239.0-1447.0077:191.0-1457.9167:191.0-1468.8258:191.0-1479.7349:191.0-1490.6439:191.0-1501.553:191.0-1512.462:191.0-1643.3707:207.0-1654.2798:207.0-1665.1888:207.0-1676.0979:207.0-1687.007:207.0-1697.916:207.0-1708.8251:207.0-1719.7341:207.0-1730.6432:207.0-1741.5522:207.0-1752.4613:207.0-1763.3704:207.0-1774.2794:207.0-2003.3696:191.0-2036.0968:223.0-2047.0059:223.0-2057.915:223.0-2068.8242:223.0-2079.7334:223.0-2090.6426:223.0-2101.5518:223.0-2112.461:223.0-2123.37:223.0-2134.2793:223.0-2145.1885:223.0-2156.0977:223.0-2167.0068:223.0-2177.916:223.0-2188.8252:223.0-2199.7344:223.0-2210.6436:223.0-2221.5527:223.0-2232.462:223.0-2319.7354:191.0-2330.6445:191.0-2341.5537:191.0-2352.463:191.0-2363.372:191.0-2373.6812:191.0-2383.4563:191.0-2384.0:191.0
5,14.686521:15.0-18.751003:15.0-126.93359:191.0-136.6509:191.0-146.4993:191.0-156.46437:191.0-166.5333:191.0-176.69463:191.0-186.93822:191.0-197.255:191.0-207.63695:191.0-218.07687:191.0-249.6842:207.0-260.29892:207.0-270.946:207.0-281.62195:207.0-292.32352:207.0-303.0479:207.0-313.79263:207.0-324.55542:207.0-335.33432:207.0-346.12753:207.0-356.9335:207.0-508.98956:191.0-519.8807:191.0-530.7738:191.0-541.66864:191.0-552.56506:191.0-563.4629:191.0-574.36194:191.0-585.2621:191.0-596.1632:191.0-737.9312:223.0-748.83875:223.0-759.74646:223.0-770.6543:223.0-781.5623:223.0-792.47046:223.0-963.375:143.0-972.28375:143.0-981.41254:143.0-990.7371:143.0-1059.9512:191.0-1070.2366:191.0-1080.5906:191.0-1091.0056:191.0-1101.475:191.0-1111.9927:191.0-1122.5535:191.0-1175.8545:223.0-1186.5905:223.0-1197.3455:223.0-1208.1174:223.0-1218.9045:223.0-1229.7051:223.0-1240.5175:223.0-1251.3406:223.0-1262.1731:223.0-1273.014:223.0-1283.8624:223.0-1294.7175:223.0-1338.1913:239.0-1349.0702:239.0-1359.9524:239.0-1436.195:207.0-1447.0935:207.0-1457.9932:207.0-1468.8939:207.0-1479.7955:207.0-1490.698:207.0-1632.4741:223.0-1643.382:223.0-1654.2899:223.0-1665.198:223.0-1676.1062:223.0-1687.0145:223.0-1697.9229:223.0-1708.8313:223.0-1719.7399:223.0-1730.6484:223.0-1741.5571:223.0-1752.4658:223.0-1763.3745:223.0-1918.3655:191.0-1929.0253:191.0-1939.7124:191.0-1950.424:191.0-1993.465:223.0-2004.2638:223.0-2015.0747:223.0-2025.8965:223.0-2101.8657:191.0-2112.7405:191.0-2123.619:191.0-2134.5007:191.0-2145.3855:191.0-2156.273:191.0-2167.1628:191.0-2178.055:191.0-2188.9487:191.0-2199.8442:191.0-2210.7412:191.0-2276.147:223.0-2287.0508:223.0-2297.955:223.0-2308.8599:223.0-2319.7651:223.0-2330.671:223.0-2341.577:223.0-2352.4834:223.0-2363.3901:223.0-2374.297:223.0-2384.0:223.0
6,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-156.46437:207.0-166.5333:207.0-176.69463:207.0-186.93822:207.0-313.79263:191.0-324.55542:191.0-335.33432:191.0-552.56506:223.0-563.4629:223.0-574.36194:223.0-585.2621:223.0-596.1632:223.0-607.06525:223.0-617.968:223.0-650.6803:239.0-661.58545:239.0-672.491:239.0-683.397:239.0-694.3033:239.0-705.2099:239.0-716.11676:239.0-727.02386:239.0-847.0124:239.0-857.921:239.0-977.91815:207.0-988.82715:207.0-999.73615:207.0-1010.64514:207.0-1021.55414:207.0-1032.4633:207.0-1043.3723:207.0-1054.2814:207.0-1065.1904:207.0-1076.0995:207.0-1087.0085:207.0-1097.9176:207.0-1108.8267:207.0-1119.7357:207.0-1130.6448:207.0-1141.5538:207.0-1152.4629:207.0-1163.372:207.0-1174.281:207.0-1185.1901:207.0-1414.2803:175.0-1425.1893:175.0-1567.0071:207.0-1577.9161:207.0-1676.0977:191.0-1687.0067:191.0-1697.9158:191.0-1708.8248:191.0-1719.7339:191.0-1730.643:191.0-1741.552:191.0-1752.461:191.0-1763.3701:191.0-1861.5516:207.0-1872.4607:207.0-1883.3698:207.0-2003.3694:207.0-2014.2784:207.0-2025.1875:207.0-2036.0966:207.0-2047.0056:207.0-2057.9148:207.0-2068.824:207.0-2079.7332:207.0-2090.6423:207.0-2101.5515:207.0-2112.4607:207.0-2123.3699:207.0-2134.279:207.0-2145.1882:207.0-2188.825:223.0-2199.7341:223.0-2210.6433:223.0-2221.5525:223.0-2232.4617:223.0-2243.3708:223.0-2254.28:223.0-2265.1892:223.0-2276.0984:223.0-2373.681:223.0-2383.456:223.0-2384.0:223.0
7,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-454.57324:207.0-465.45016:207.0-476.33063:207.0-487.21423:207.0-498.10065:207.0-508.98956:207.0-519.8807:207.0-530.7738:207.0-541.66864:207.0-552.56506:207.0-563.4629:207.0-574.36194:207.0-585.2621:207.0-628.8715:223.0-639.77563:223.0-650.6803:223.0-661.58545:223.0-672.491:223.0-683.397:223.0-716.11676:239.0-727.02386:239.0-879.73834:207.0-890.6471:207.0-901.5559:207.0-912.4647:207.0-923.3736:207.0-934.2825:207.0-945.19135:207.0-956.1003:207.0-967.0092:207.0-977.91815:207.0-988.82715:207.0-999.73615:207.0-1010.64514:207.0-1112.881:207.0-1120.9441:207.0-1198.3809:191.0-1207.839:191.0-1326.5402:159.0-1336.3008:159.0-1346.1877:159.0-1356.1871:159.0-1438.9966:239.0-1449.5869:239.0-1460.2123:239.0-1470.8689:239.0-1621.953:207.0-1632.8181:207.0-1643.6881:207.0-1654.5624:207.0-1665.4404:207.0-1676.3219:207.0-1687.2064:207.0-1698.0936:207.0-1752.5609:239.0-1763.4591:239.0-1774.3585:239.0-1785.259:239.0-1796.1605:239.0-1872.4896:207.0-1883.3958:207.0-1894.3021:207.0-1905.2089:207.0-1916.1158:207.0-1927.0231:207.0-1937.9304:207.0-1948.838:207.0-1959.7457:207.0-1970.6537:207.0-1981.5618:207.0-1992.47:207.0-2003.3782:207.0-2014.2865:207.0-2025.195:207.0-2036.1034:207.0-2047.012:207.0-2057.9207:207.0-2068.8293:207.0-2079.738:207.0-2090.6467:207.0-2101.5554:207.0-2112.4644:207.0-2123.3733:207.0-2177.918:223.0-2188.827:223.0-2199.7358:223.0-2210.6448:223.0-2221.5537:223.0-2232.4626:223.0-2243.3716:223.0-2254.2805:223.0-2265.1895:223.0-2276.0984:223.0-2287.0073:223.0-2297.9163:223.0-2308.8252:223.0-2319.7344:223.0-2330.6436:223.0-2341.5527:223.0-2352.462:223.0-2363.371:223.0-2373.6802:223.0-2383.4553:223.0-2384.0:223.0
8,14.686521:15.0-18.751003:15.0-111.85988:239.0-120.23529:239.0-128.28941:239.0-221.48373:207.0-231.60052:207.0-241.80446:207.0-252.08597:207.0-262.4365:207.0-272.84848:207.0-283.31516:207.0-293.83047:207.0-304.38913:207.0-314.98633:207.0-325.61783:207.0-422.34058:207.0-433.16312:207.0-443.99518:207.0-454.8357:207.0-465.68378:207.0-476.53854:207.0-487.3993:207.0-498.26535:207.0-530.8899:223.0-541.772:223.0-639.81195:207.0-650.71265:207.0-661.61426:207.0-672.51666:207.0-683.4198:207.0-694.3236:207.0-705.228:207.0-716.13293:207.0-847.01636:223.0-857.9245:223.0-879.74115:239.0-890.6496:239.0-977.9191:191.0-988.828:191.0-999.7369:191.0-1010.6458:191.0-1021.55475:191.0-1032.4636:191.0-1043.3726:191.0-1054.2815:191.0-1065.1904:191.0-1141.5538:239.0-1152.4629:239.0-1163.372:239.0-1174.281:239.0-1185.1901:239.0-1196.0991:239.0-1207.0082:239.0-1217.9172:239.0-1294.2806:207.0-1305.1897:207.0-1316.0988:207.0-1327.0078:207.0-1337.9169:207.0-1381.5531:223.0-1392.4622:223.0-1403.3712:223.0-1414.2803:223.0-1425.1893:223.0-1436.0984:223.0-1447.0074:223.0-1457.9165:223.0-1665.1886:191.0-1687.0067:207.0-1697.9158:207.0-1708.8248:207.0-1719.7339:207.0-1730.643:207.0-1741.552:207.0-1752.461:207.0-1763.3701:207.0-1774.2792:207.0-1785.1882:207.0-1839.7335:239.0-1850.6426:239.0-1861.5516:239.0-1872.4607:239.0-1883.3698:239.0-1894.2788:239.0-1905.1879:239.0-1916.0969:239.0-1927.006:239.0-1937.915:239.0-1948.8241:239.0-1959.7332:239.0-1970.6422:239.0-1981.5513:239.0-2079.7332:223.0-2090.6423:223.0-2101.5515:223.0-2112.4607:223.0-2210.6433:207.0-2221.5525:207.0-2265.1892:239.0-2276.0984:239.0-2287.0076:239.0-2297.9167:239.0-2308.826:239.0-2319.735:239.0-2330.6443:239.0-2341.5535:239.0-2352.4626:239.0-2363.3718:239.0-2374.281:239.0-2384.0:239.0
9,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-156.46437:207.0-166.5333:207.0-292.32352:191.0-303.0479:191.0-313.79263:191.0-443.7003:207.0-454.57324:207.0-465.45016:207.0-476.33063:207.0-487.21423:207.0-498.10065:207.0-508.98956:207.0-519.8807:207.0-530.7738:207.0-541.66864:207.0-552.56506:207.0-563.4629:207.0-607.06525:223.0-617.968:223.0-628.8715:223.0-639.77563:223.0-650.6803:223.0-661.58545:223.0-759.74646:207.0-770.6543:207.0-781.5623:207.0-792.47046:207.0-803.37866:207.0-814.287:207.0-847.0124:223.0-857.921:223.0-868.82965:223.0-879.73834:223.0-890.6471:223.0-901.5559:223.0-912.4647:223.0-923.3736:223.0-1021.55414:207.0-1032.4633:207.0-1043.3723:207.0-1054.2814:207.0-1185.1901:223.0-1205.2742:239.0-1214.574:239.0-1223.4508:239.0-1306.5098:239.0-1316.0736:239.0-1396.7471:191.0-1407.1848:191.0-1417.6744:191.0-1428.2102:191.0-1438.787:191.0-1449.4004:191.0-1460.0463:191.0-1470.7211:191.0-1481.4218:191.0-1524.4297:207.0-1535.2224:207.0-1546.028:207.0-1556.8448:207.0-1567.6719:207.0-1578.5079:207.0-1589.352:207.0-1600.2032:207.0-1611.0608:207.0-1621.9241:207.0-1632.7924:207.0-1643.6652:207.0-1654.542:207.0-1665.4224:207.0-1676.3059:207.0-1970.6531:223.0-1981.5612:223.0-1992.4694:223.0-2003.3777:223.0-2134.2822:191.0-2145.1912:191.0-2156.1:191.0-2167.009:191.0-2177.918:191.0-2188.827:191.0-2199.7358:191.0-2210.6448:191.0-2221.5537:191.0-2232.4626:191.0-2243.3716:191.0-2254.2805:191.0-2265.1895:191.0-2276.0984:191.0-2287.0073:191.0-2297.9163:191.0-2363.3713:223.0-2374.2805:223.0-2384.0:223.0
10,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-156.46437:207.0-166.5333:207.0-176.69463:207.0-186.93822:207.0-197.255:207.0-207.63695:207.0-292.32352:207.0-303.0479:207.0-313.79263:207.0-324.55542:207.0-335.33432:207.0-346.12753:207.0-356.9335:207.0-367.7508:207.0-378.5782:207.0-389.41458:207.0-400.25897:207.0-411.11047:207.0-421.96832:207.0-432.8318:207.0-443.7003:207.0-454.57324:207.0-465.45016:207.0-563.4629:191.0-585.2621:207.0-596.1632:207.0-607.06525:207.0-617.968:207.0-628.8715:207.0-639.77563:207.0-650.6803:207.0-661.58545:207.0-792.47046:223.0-803.37866:223.0-814.287:223.0-825.1954:223.0-836.1038:223.0-847.0124:223.0-857.921:223.0-956.1003:207.0-967.0092:207.0-1103.5004:223.0-1112.5953:223.0-1296.0824:239.0-1306.7933:239.0-1317.526:239.0-1328.2781:239.0-1339.0475:239.0-1349.8323:239.0-1360.6307:239.0-1371.4413:239.0-1382.2627:239.0-1393.0938:239.0-1403.9333:239.0-1414.7806:239.0-1425.6348:239.0-1436.4949:239.0-1447.3604:239.0-1458.2307:239.0-1469.1053:239.0-1545.3132:207.0-1556.2087:207.0-1567.1057:207.0-1621.6079:239.0-1632.511:239.0-1643.4147:239.0-1654.319:239.0-1665.2239:239.0-1676.1292:239.0-1687.0349:239.0-1697.941:239.0-1708.8474:239.0-1839.7404:207.0-1850.6488:207.0-1861.5574:207.0-1959.7365:191.0-1970.6454:191.0-2101.553:207.0-2112.462:207.0-2123.3708:207.0-2134.28:207.0-2145.1892:207.0-2243.3718:191.0-2254.281:191.0-2265.1902:191.0-2276.0994:191.0-2287.0085:191.0-2297.9177:191.0-2308.827:191.0-2319.736:191.0-2330.6453:191.0-2341.5544:191.0-2352.4636:191.0
